time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-30 00:00:00+00:00,30,9,0,0
2026-05-01 00:00:00+00:00,33,8,0,0
2026-05-02 00:00:00+00:00,43,10,0,0
2026-05-03 00:00:00+00:00,33,12,0,0
2026-05-04 00:00:00+00:00,40,12,3,1
2026-05-05 00:00:00+00:00,57,15,0,0
2026-05-06 00:00:00+00:00,26,10,0,0
2026-05-07 00:00:00+00:00,32,8,0,0
2026-05-08 00:00:00+00:00,12,5,0,0
2026-05-09 00:00:00+00:00,18,7,0,0
2026-05-10 00:00:00+00:00,25,10,0,0
2026-05-11 00:00:00+00:00,38,10,0,0
2026-05-12 00:00:00+00:00,18,5,0,0
2026-05-13 00:00:00+00:00,27,8,0,0
